source_file,source_type,event_number,weight,n_electrons,n_muons,n_jets,met_gev,leading_electron_pt_gev,leading_muon_pt_gev,leading_jet_pt_gev,electron_mt_gev,muon_mt_gev,has_same_sign_leptons,trigE,trigM,n_btag_jets,has_os_ee,has_os_mumu,has_em_control,z_ee_in_window,z_mumu_in_window,best_z_ee_mass_gev,best_z_mumu_mass_gev
data_A.1lep.root,data,111602001,1.0,0,1,1,45.16862,,29.774946212768555,30.90053939819336,,68.58546490253642,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,110017820,1.0,0,1,0,36.03615,,33.20854187011719,,,69.18399917561938,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110034309,1.0,0,1,0,33.424465,,41.58006286621094,,,73.77804064983688,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110385344,1.0,0,1,0,71.045,,38.19623565673828,,,102.80605585434729,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,110428379,1.0,0,1,0,40.193134,,41.966156005859375,,,82.11728336369578,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111196978,1.0,0,1,1,44.663277,,37.23042297363281,59.06886291503906,,60.655748202176696,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,111563106,1.0,0,1,0,36.66352,,34.86860656738281,,,71.50329911000189,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112578271,1.0,0,1,1,34.069874,,40.333274841308594,40.54695129394531,,57.35428771993853,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,112586127,1.0,0,1,0,30.521145,,30.50178337097168,,,60.89695498127084,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111640756,1.0,0,1,1,40.82238,,32.315921783447266,32.74309539794922,,72.6251435196432,False,False,True,1,False,False,False,False,False,,
data_A.1lep.root,data,111727566,1.0,0,1,0,38.69222,,37.806373596191406,,,76.46891608818137,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,111921704,1.0,0,1,0,37.847214,,36.561676025390625,,,70.40740226837706,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112013023,1.0,0,1,0,33.55643,,36.1283073425293,,,68.04041700458409,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112434740,1.0,0,1,2,43.66411,,26.651626586914062,66.64866638183594,,67.31208148363085,False,False,True,2,False,False,False,False,False,,
data_A.1lep.root,data,112461966,1.0,0,1,0,38.389526,,26.833078384399414,,,56.93465584212153,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112494675,1.0,0,1,0,40.118404,,37.39897537231445,,,75.45533914669807,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112543102,1.0,0,1,0,44.89252,,42.83015060424805,,,87.40207470184359,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112644051,1.0,0,1,2,86.45645,,33.636837005615234,34.20295333862305,,107.75750136924559,False,False,True,2,False,False,False,False,False,,
data_A.1lep.root,data,112159871,1.0,0,1,0,43.3936,,47.195281982421875,,,90.49086519145065,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112424873,1.0,0,1,0,49.633595,,86.55023956298828,,,130.70432551041694,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112549562,1.0,0,1,0,33.89293,,44.58633804321289,,,72.94666005621549,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112596808,1.0,0,1,0,32.027657,,38.811851501464844,,,70.51346193360095,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112600790,1.0,0,1,0,50.80766,,36.200592041015625,,,55.04415349762064,False,False,True,0,False,False,False,False,False,,
data_A.1lep.root,data,112041679,1.0,0,1,0,43.257015,,44.36363220214844,,,87.60021462996613,False,False,True,0,False,False,False,False,False,,
